,accelerometer_X,accelerometer_Y,accelerometer_Z,activity
248,1.273715,-6.502651,-3.572149,stairs
249,0.7230489999999999,-6.871359,-4.079719,stairs
250,2.226608,-7.575253999999999,-12.555194,stairs
251,3.284845,-11.96622,-3.892972,stairs
252,3.945645,-11.760319,-8.09719,stairs
253,2.801216,-9.32781,-5.133168,stairs
254,-1.35033,-3.380613,-0.057461,stairs
255,-0.253785,-6.373365,0.205901,stairs
256,-1.608903,-6.502651,-3.998317,stairs
257,1.685518,-10.146626,-1.115698,stairs
258,-0.474052,-4.13718,-1.249773,stairs
259,-0.761356,-9.203311,-2.178723,stairs
260,-1.278504,-4.1419690000000005,0.253785,stairs
261,-0.3304,-6.105214,-3.284845,stairs
262,1.455675,-7.479486,-3.864241,stairs
263,1.613692,-9.150639,-4.151545,stairs
264,1.216255,-9.792285,0.636858,stairs
265,-2.54743,-7.086836999999999,-2.585738,stairs
266,-1.206678,-9.433155,-2.202665,stairs
267,-3.102885,-4.644751,-2.456451,stairs
268,0.282516,-9.251195,-0.933739,stairs
269,-3.20823,-4.711789,0.885855,stairs
270,2.226608,-8.044516999999999,-2.341529,stairs
271,-1.647211,-11.851298,6.775591,stairs
272,8.39886,-13.771448,-2.566584,stairs
273,2.494758,-10.328587,-8.690952000000001,stairs
274,0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
275,-6.224924,-12.23437,-26.230873,stairs
276,1.273715,-6.502651,-3.572149,stairs
277,0.7230489999999999,-6.871359,-4.079719,stairs
278,2.226608,-7.575253999999999,-12.555194,stairs
279,3.284845,-11.96622,-3.892972,stairs
280,3.945645,-11.760319,-8.09719,stairs
281,2.801216,-9.32781,-5.133168,stairs
282,-1.35033,-3.380613,-0.057461,stairs
283,-0.253785,-6.373365,0.205901,stairs
284,-1.608903,-6.502651,-3.998317,stairs
285,1.685518,-10.146626,-1.115698,stairs
286,-0.474052,-4.13718,-1.249773,stairs
287,-0.761356,-9.203311,-2.178723,stairs
288,-1.278504,-4.1419690000000005,0.253785,stairs
289,-0.3304,-6.105214,-3.284845,stairs
290,1.455675,-7.479486,-3.864241,stairs
291,1.613692,-9.150639,-4.151545,stairs
292,1.216255,-9.792285,0.636858,stairs
293,-2.54743,-7.086836999999999,-2.585738,stairs
294,-1.206678,-9.433155,-2.202665,stairs
295,-3.102885,-4.644751,-2.456451,stairs
296,0.282516,-9.251195,-0.933739,stairs
297,-3.20823,-4.711789,0.885855,stairs
